F001 | Intro | concept | "At the time of Mendel, the nature of those 'factors' regulating the pattern of inheritance was not clear."
F044 | 5.1.1 | list | "(ii) The two chains have anti-parallel polarity. It means, if one chain has the polarity 5'-to-3', the other has 3'-to-5'."
F045 | 5.1.1 | list | "(iii) The bases in two strands are paired through hydrogen bond (H-bonds) forming base pairs (bp). Adenine forms two hydrogen bonds with Thymine from opposite strand and vice-versa. Similarly, Guanine is bonded with Cytosine with three H-bonds."
F046 | 5.1.1 | concept | "As a result, always a purine comes opposite to a pyrimidine. This generates approximately uniform distance between the two strands of the helix (Figure 5.2)."
F047 | 5.1.1 | list | "(iv) The two chains are coiled in a right-handed fashion."
F048 | 5.1.1 | number | "The pitch of the helix is 3.4 nm (a nanometre is one billionth of a metre, that is 10^-9 m) and there are roughly 10 bp in each turn."
F049 | 5.1.1 | number | "Consequently, the distance between a bp in a helix is approximately 0.34 nm."
F050 | 5.1.1 | list | "(v) The plane of one base pair stacks over the other in double helix. This, in addition to H-bonds, confers stability of the helical structure (Figure 5.3)."
F051 | 5.1.1 | question | "Compare the structure of purines and pyrimidines. Can you find out why the distance between two polynucleotide chains in DNA remains almost constant?"
F052 | 5.1.1 | concept | "The proposition of a double helix structure for DNA and its simplicity in explaining the genetic implication became revolutionary."
F053 | 5.1.1 | definition | "Very soon, Francis Crick proposed the Central dogma in molecular biology, which states that the genetic information flows from DNA-to-RNA-to-Protein."
F054 | 5.1.1 | concept | "In some viruses the flow of information is in reverse direction, that is, from RNA to DNA."
F055 | 5.1.1 | question | "Can you suggest a simple name to the process?"
F056 | 5.1.2 | number | "Taken the distance between two consecutive base pairs as 0.34 nm (0.34x10^-9 m)"
F057 | 5.1.2 | number | "6.6 x 10^9 bp x 0.34 x 10^-9 m/bp, it comes out to be approximately 2.2 metres"
F058 | 5.1.2 | number | "A length that is far greater than the dimension of a typical nucleus (approximately 10^-6 m)."
F059 | 5.1.2 | question | "How is such a long polymer packaged in a cell?"
F060 | 5.1.2 | question | "If the length of E. coli DNA is 1.36 mm, can you calculate the number of base pairs in E.coli?"
F061 | 5.1.2 | concept | "In prokaryotes, such as, E. coli, though they do not have a defined nucleus, the DNA is not scattered throughout the cell."
F062 | 5.1.2 | definition | "DNA (being negatively charged) is held with some proteins (that have positive charges) in a region termed as 'nucleoid'."
F063 | 5.1.2 | concept | "The DNA in nucleoid is organised in large loops held by proteins."
F064 | 5.1.2 | concept | "In eukaryotes, this organisation is much more complex. There is a set of positively charged, basic proteins called histones."
F065 | 5.1.2 | concept | "A protein acquires charge depending upon the abundance of amino acids residues with charged side chains."
F066 | 5.1.2 | concept | "Histones are rich in the basic amino acid residues lysine and arginine. Both the amino acid residues carry positive charges in their side chains."
F067 | 5.1.2 | definition | "Histones are organised to form a unit of eight molecules called histone octamer."
F068 | 5.1.2 | definition | "The negatively charged DNA is wrapped around the positively charged histone octamer to form a structure called nucleosome (Figure 5.4 a)."
F069 | 5.1.2 | number | "A typical nucleosome contains 200 bp of DNA helix."
F070 | 5.1.2 | definition | "Nucleosomes constitute the repeating unit of a structure in nucleus called chromatin, thread-like stained (coloured) bodies seen in nucleus."
F071 | 5.1.2 | concept | "The nucleosomes in chromatin are seen as 'beads-on-string' structure when viewed under electron microscope (EM) (Figure 5.4 b)."
F072 | 5.1.2 | question | "Theoretically, how many such beads (nucleosomes) do you imagine are present in a mammalian cell?"
F073 | 5.1.2 | concept | "The beads-on-string structure in chromatin is packaged to form chromatin fibers that are further coiled and condensed at metaphase stage of cell division to form chromosomes."
F074 | 5.1.2 | definition | "The packaging of chromatin at higher level requires additional set of proteins that collectively are referred to as Non-histone Chromosomal (NHC) proteins."
F075 | 5.1.2 | definition | "In a typical nucleus, some region of chromatin are loosely packed (and stains light) and are referred to as euchromatin."
F076 | 5.1.2 | definition | "The chromatin that is more densely packed and stains dark are called as Heterochromatin."
F077 | 5.1.2 | concept | "Euchromatin is said to be transcriptionally active chromatin, whereas heterochromatin is inactive."
F078 | 5.2 | number | "By 1926, the quest to determine the mechanism for genetic inheritance had reached the molecular level."
F079 | 5.2 | name | "Previous discoveries by Gregor Mendel, Walter Sutton, Thomas Hunt Morgan and numerous other scientists had narrowed the search to the chromosomes located in the nucleus of most cells."
F080 | 5.2 | concept | "But the question of what molecule was actually the genetic material, had not been answered."
F081 | 5.2 (Transforming Principle) | name | "In 1928, Frederick Griffith, in a series of experiments with Streptococcus pneumoniae (bacterium responsible for pneumonia), witnessed a miraculous transformation in the bacteria."
F082 | 5.2 (Transforming Principle) | concept | "During the course of his experiment, a living organism (bacteria) had changed in physical form."
F083 | 5.2 (Transforming Principle) | concept | "When Streptococcus pneumoniae (pneumococcus) bacteria are grown on a culture plate, some produce smooth shiny colonies (S) while others produce rough colonies (R)."
F084 | 5.2 (Transforming Principle) | concept | "This is because the S strain bacteria have a mucous (polysaccharide) coat, while R strain does not."
F085 | 5.2 (Transforming Principle) | concept | "Mice infected with the S strain (virulent) die from pneumonia infection but mice infected with the R strain do not develop pneumonia."
F086 | 5.2 (Transforming Principle) | concept | "Griffith was able to kill bacteria by heating them."
F087 | 5.2 (Transforming Principle) | concept | "He observed that heat-killed S strain bacteria injected into mice did not kill them."
F088 | 5.2 (Transforming Principle) | concept | "When he injected a mixture of heat-killed S and live R bacteria, the mice died."
F089 | 5.2 (Transforming Principle) | concept | "Moreover, he recovered living S bacteria from the dead mice."
F090 | 5.2 (Transforming Principle) | concept | "He concluded that the R strain bacteria had somehow been transformed by the heat-killed S strain bacteria."
